COSEWIC common name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule 1 status,Last status change,SARA schedule,Date added,Range,Taxonomic group,Under consideration for,GIC decision,Estimated re-assessment,Domain,Unique_ID,Domain_status,Taxonomic group_status,Scientific name_status,COSEWIC common name_status,COSEWIC population_status,COSEWIC status_status,Scheduled Assessment,Range_status
Hudsonian Godwit,NA,Threatened,2019-05-03,Limosa haemastica,Hudsonian Godwit,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Birds,Addition,Pending,2029-05-03,Terrestrial,Limosa haemastica - Hudsonian Godwit,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Purple Twayblade,NA,Threatened,2010-11-26,Liparis liliifolia,Purple Twayblade,NA,Threatened,2017-06-02,Schedule 1,2003-06-05,"Ontario, Quebec",Vascular Plants,NA,Downlisted: Endangered to threatened,2020-11-26,Terrestrial,Liparis liliifolia - Purple Twayblade,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Small-flowered Lipocarpha,NA,Endangered,2002-11-01,Lipocarpha micrantha,Small-flowered Lipocarpha,NA,Endangered,2005-01-12,Schedule 1,2005-01-12,"British Columbia, Ontario",Vascular Plants,NA,Added to list,2012-11-01,Terrestrial,Lipocarpha micrantha - Small-flowered Lipocarpha,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Northern Right Whale Dolphin,NA,Not at Risk,1990-04-01,Lissodelphis borealis,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Pacific Ocean,Mammals (marine),NA,NA,2000-04-01,Aquatic,Lissodelphis borealis - Northern Right Whale Dolphin,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Northern Leopard Frog,Eastern population,Not at Risk,2009-04-26,Lithobates pipiens,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Manitoba, New Brunswick, Newfoundland and Labrador, Nova Scotia, Ontario, Prince Edward Island, Quebec",Amphibians,NA,NA,2019-04-26,Terrestrial,Lithobates pipiens - Northern Leopard Frog (Eastern population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Northern Leopard Frog,Rocky Mountain population,Endangered,2021-12-01,Lithobates pipiens,Northern Leopard Frog,Rocky Mountain population,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Amphibians,NA,Added to list,2031-12-01,Terrestrial,Lithobates pipiens - Northern Leopard Frog (Rocky Mountain population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Northern Leopard Frog,Western Boreal/Prairie population,Special Concern,2009-04-26,Lithobates pipiens,Northern Leopard Frog,Western Boreal/Prairie population,Special Concern,2005-01-12,Schedule 1,2005-01-12,"Alberta, Manitoba, Northwest Territories, Saskatchewan",Amphibians,NA,Added to list,2019-04-26,Terrestrial,Lithobates pipiens - Northern Leopard Frog (Western Boreal/Prairie population),Terrestrial,Amphibians,Lithobates pipiens,Northern Leopard Frog ,Western Boreal/Prairie population,Special Concern,9999-01-01,"AB, CMN, CWS, MB, NT, Parks, SK"
Smoker’s Lung Lichen,NA,Threatened,2018-04-27,Lobaria retigera,Smoker’s Lung Lichen,NA,Threatened,2023-02-03,Schedule 1,2023-02-03,British Columbia,Lichens,NA,Added to list,2028-04-27,Terrestrial,Lobaria retigera - Smoker’s Lung Lichen,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Gray's Desert-parsley,NA,Threatened,2008-11-28,Lomatium grayi,Gray's Desert-parsley,NA,Threatened,2011-02-04,Schedule 1,2011-02-04,British Columbia,Vascular Plants,NA,Added to list,2018-11-28,Terrestrial,Lomatium grayi - Gray's Desert-parsley,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Goldencrest,NA,Special Concern,2012-05-04,Lophiola aurea,Goldencrest,NA,Special Concern,2017-06-02,Schedule 1,2003-06-05,Nova Scotia,Vascular Plants,NA,Downlisted: Threatened to special concern,2022-05-04,Terrestrial,Lophiola aurea - Goldencrest,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Eelgrass Limpet,NA,Extinct,2000-05-01,Lottia alveus alveus,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Atlantic Ocean,Molluscs,NA,NA,2010-05-01,Terrestrial,Lottia alveus alveus - Eelgrass Limpet,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Seaside Birds-foot Lotus,NA,Endangered,2010-11-26,Lotus formosissimus,Seaside Birds-foot Lotus,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Vascular Plants,NA,Added to list,2020-11-26,Terrestrial,Lotus formosissimus - Seaside Birds-foot Lotus,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Bog Bird’s-foot Trefoil,NA,Endangered,2004-05-01,Lotus pinnatus,Bog Bird’s-foot Trefoil,NA,Endangered,2005-07-14,Schedule 1,2005-07-14,British Columbia,Vascular Plants,NA,Added to list,2014-05-01,Terrestrial,Lotus pinnatus - Bog Bird’s-foot Trefoil,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Red Crossbill percna subspecies,NA,Threatened,2016-04-29,Loxia curvirostra percna,Red Crossbill percna subspecies,NA,Threatened,2019-05-22,Schedule 1,2005-07-14,"Newfoundland and Labrador, Quebec",Birds,NA,Downlisted: Endangered to threatened,2026-04-29,Terrestrial,Loxia curvirostra percna - Red Crossbill percna subspecies,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Dense-flowered Lupine,NA,Endangered,2005-05-05,Lupinus densiflorus,Dense-flowered Lupine,NA,Endangered,2006-08-15,Schedule 1,2006-08-15,British Columbia,Vascular Plants,NA,Added to list,2015-05-05,Terrestrial,Lupinus densiflorus - Dense-flowered Lupine,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Prairie Lupine,NA,Endangered,2009-04-26,Lupinus lepidus,Prairie Lupine,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Vascular Plants,NA,Added to list,2019-04-26,Terrestrial,Lupinus lepidus - Prairie Lupine,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Oregon Lupine,NA,Extirpated,2008-11-28,Lupinus oreganus,Oregon Lupine,NA,Extirpated,2011-02-04,Schedule 1,2011-02-04,British Columbia,Vascular Plants,NA,Added to list,2018-11-28,Terrestrial,Lupinus oreganus - Oregon Lupine,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Streambank Lupine,NA,Endangered,2002-11-01,Lupinus rivularis,Streambank Lupine,NA,Endangered,2005-01-12,Schedule 1,2005-01-12,British Columbia,Vascular Plants,NA,Added to list,2012-11-01,Terrestrial,Lupinus rivularis - Streambank Lupine,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Striped Shiner,NA,Not at Risk,1993-04-01,Luxilus chrysocephalus,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Ontario,Fishes (freshwater),NA,NA,2003-04-01,Aquatic,Luxilus chrysocephalus - Striped Shiner,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Canada Lynx,NA,Not at Risk,2001-05-01,Lynx canadensis,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Quebec, Saskatchewan, Yukon",Mammals (terrestrial),NA,NA,2011-05-01,Terrestrial,Lynx canadensis - Canada Lynx,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Squat Duskysnail,NA,Data Deficient,2003-11-01,Lyogyrus granum,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"New Brunswick, Nova Scotia",Molluscs,NA,NA,2013-11-01,Terrestrial,Lyogyrus granum - Squat Duskysnail,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Maleberry,NA,Endangered,2020-11-04,Lyonia ligustrina,Maleberry,NA,No Status,9999-01-01,No schedule,9999-01-01,Nova Scotia,Vascular Plants,Addition,Pending,2030-11-04,Terrestrial,Lyonia ligustrina - Maleberry,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Redfin Shiner,NA,Not at Risk,1988-04-01,Lythrurus umbratilis,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Ontario,Fishes (freshwater),NA,NA,1998-04-01,Aquatic,Lythrurus umbratilis - Redfin Shiner,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Silver Chub,NA,Non-active,2012-05-04,Macrhybopsis storeriana,Silver Chub,NA,No Status,2019-08-08,No schedule,2003-06-05,"Manitoba, Ontario",Fishes (freshwater),NA,Struck - WS reassignment,2022-05-04,Aquatic,Macrhybopsis storeriana - Silver Chub,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Silver Chub,Great Lakes - Upper St. Lawrence population,Endangered,2012-05-04,Macrhybopsis storeriana,Silver Chub,Great Lakes - Upper St. Lawrence population,Endangered,2019-08-08,Schedule 1,2003-06-05,Ontario,Fishes (freshwater),NA,Uplisted: Special Concern to endangered,2022-05-04,Aquatic,Macrhybopsis storeriana - Silver Chub (Great Lakes - Upper St. Lawrence population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Silver Chub,Saskatchewan - Nelson River population,Not at Risk,2012-05-04,Macrhybopsis storeriana,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Manitoba,Fishes (freshwater),NA,NA,2022-05-04,Aquatic,Macrhybopsis storeriana - Silver Chub (Saskatchewan - Nelson River population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Roughhead Grenadier,NA,Not at Risk,2018-11-01,Macrourus berglax,Roughhead Grenadier,NA,No Status,9999-01-01,No schedule,9999-01-01,"Arctic Ocean, Atlantic Ocean, New Brunswick, Newfoundland and Labrador, Nova Scotia, Nunavut",Fishes (marine),NA,NA,2028-11-01,Aquatic,Macrourus berglax - Roughhead Grenadier,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Magnum Mantleslug,NA,Special Concern,2022-12-03,Magnipelta mycophaga,Magnum Mantleslug,NA,Special Concern,2017-02-03,Schedule 1,2017-02-03,British Columbia,Molluscs,NA,Added to list,2032-12-03,Terrestrial,Magnipelta mycophaga - Magnum Mantleslug,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Cucumber Tree,NA,Endangered,2010-04-25,Magnolia acuminata,Cucumber Tree,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Vascular Plants,NA,Added to list,2020-04-25,Terrestrial,Magnolia acuminata - Cucumber Tree,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Smooth Skate,Funk Island Deep population,Endangered,2012-05-04,Malacoraja senta,Smooth Skate,Funk Island Deep population,No Status,9999-01-01,No schedule,9999-01-01,"Atlantic Ocean, Newfoundland and Labrador",Fishes (marine),Addition,Pending,2022-05-04,Aquatic,Malacoraja senta - Smooth Skate (Funk Island Deep population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Smooth Skate,Hopedale Channel population,Data Deficient,2012-05-04,Malacoraja senta,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Atlantic Ocean, Newfoundland and Labrador",Fishes (marine),NA,NA,2022-05-04,Aquatic,Malacoraja senta - Smooth Skate (Hopedale Channel population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Smooth Skate,Laurentian-Scotian population,Special Concern,2012-05-04,Malacoraja senta,Smooth Skate,Laurentian-Scotian population,No Status,9999-01-01,No schedule,9999-01-01,"Atlantic Ocean, New Brunswick, Nova Scotia, Prince Edward Island, Quebec",Fishes (marine),Addition,Pending,2022-05-04,Aquatic,Malacoraja senta - Smooth Skate (Laurentian-Scotian population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Smooth Skate,Nose of the Grand Bank population,Data Deficient,2012-05-04,Malacoraja senta,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Atlantic Ocean, Newfoundland and Labrador",Fishes (marine),NA,NA,2022-05-04,Aquatic,Malacoraja senta - Smooth Skate (Nose of the Grand Bank population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Coastal Manroot,NA,Endangered,2022-12-03,Marah oregana,Coastal Manroot,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Vascular Plants,Addition,Pending,2032-12-03,Terrestrial,Marah oregana - Coastal Manroot,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Vancouver Island Marmot,NA,Endangered,2019-05-03,Marmota vancouverensis,Vancouver Island Marmot,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Mammals (terrestrial),NA,Added to list,2029-05-03,Terrestrial,Marmota vancouverensis - Vancouver Island Marmot,NA,NA,NA,NA,NA,NA,9999-01-01,NA
American Marten,Newfoundland population,Special Concern,2022-05-11,Martes americana atrata,American Marten,Newfoundland population,Threatened,9999-01-01,Schedule 1,2003-06-05,Newfoundland and Labrador,Mammals (terrestrial),Status change,Pending,2032-05-11,Terrestrial,Martes americana atrata - American Marten (Newfoundland population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
White Meconella,NA,Endangered,2005-05-05,Meconella oregana,White Meconella,NA,Endangered,2006-08-15,Schedule 1,2006-08-15,British Columbia,Vascular Plants,NA,Added to list,2015-05-05,Terrestrial,Meconella oregana - White Meconella,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Humpback Whale,Western North Atlantic and North Pacific population,Non-active,1985-04-01,Megaptera novaeangliae,Humpback Whale,Western North Atlantic and North Pacific population,NA,9999-01-01,No schedule,9999-01-01,"Arctic Ocean, Atlantic Ocean, Pacific Ocean",Mammals (marine),NA,NA,1995-04-01,Aquatic,Megaptera novaeangliae - Humpback Whale (Western North Atlantic and North Pacific population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Humpback Whale,Western North Atlantic population,Not at Risk,2003-05-01,Megaptera novaeangliae,Humpback Whale,Western North Atlantic population,NA,9999-01-01,NA,9999-01-01,"Arctic Ocean, Atlantic Ocean",Mammals (marine),NA,NA,2013-05-01,Aquatic,Megaptera novaeangliae - Humpback Whale (Western North Atlantic population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Humpback Whale,North Pacific population,Special Concern,2022-12-03,Megaptera novaeangliae kuzira,Humpback Whale,North Pacific population,Special Concern,2017-06-20,Schedule 1,2005-01-12,"British Columbia, Pacific Ocean",Mammals (marine),NA,Downlisted,2032-12-03,Aquatic,Megaptera novaeangliae kuzira - Humpback Whale (North Pacific population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Eastern Screech-owl,NA,Not at Risk,1986-04-01,Megascops asio,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Manitoba, New Brunswick, Ontario, Quebec, Saskatchewan",Birds,NA,NA,1996-04-01,Terrestrial,Megascops asio - Eastern Screech-owl,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Western Screech-owl,NA,Non-active,2002-05-01,Megascops kennicottii,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Birds,NA,NA,2012-05-01,Terrestrial,Megascops kennicottii - Western Screech-owl,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Western Screech-owl kennicottii subspecies,NA,Threatened,2012-05-04,Megascops kennicottii kennicottii,Western Screech-Owl kennicottii subspecies,NA,Threatened,2017-02-03,Schedule 1,2005-01-12,British Columbia,Birds,NA,Uplisted: Special Concern to threatened,2022-05-04,Terrestrial,Megascops kennicottii kennicottii - Western Screech-owl kennicottii subspecies,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Western Screech-owl macfarlanei subspecies,NA,Threatened,2012-05-04,Megascops kennicottii macfarlanei,Western Screech-Owl macfarlanei subspecies,NA,Threatened,2017-02-03,Schedule 1,2005-01-12,British Columbia,Birds,NA,Downlisted: Endangered to threatened,2022-05-04,Terrestrial,Megascops kennicottii macfarlanei - Western Screech-owl macfarlanei subspecies,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Red-headed Woodpecker,NA,Endangered,2018-04-27,Melanerpes erythrocephalus,Red-headed Woodpecker,NA,Endangered,2021-04-23,Schedule 1,2009-03-05,"Manitoba, Ontario, Quebec, Saskatchewan",Birds,NA,Uplisted: Threatened to endangered,2028-04-27,Terrestrial,Melanerpes erythrocephalus - Red-headed Woodpecker,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Lewis's Woodpecker,NA,Threatened,2024-11-28,Melanerpes lewis,Lewis's Woodpecker,NA,Threatened,2012-06-20,Schedule 1,2003-06-05,"Alberta, British Columbia",Birds,NA,Uplisted: Special Concern to threatened,2034-11-28,Terrestrial,Melanerpes lewis - Lewis's Woodpecker,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Magdalen Islands Grasshopper,NA,Special Concern,2016-11-27,Melanoplus madeleineae,Magdalen Islands Grasshopper,NA,Special Concern,2021-08-12,Schedule 1,2021-08-12,Quebec,Arthropods,NA,Added to list,2026-11-27,Terrestrial,Melanoplus madeleineae - Magdalen Islands Grasshopper,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Dark-banded Flower Gem,NA,Data Deficient,2005-05-05,Melaporphyria immortua,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, Manitoba, Saskatchewan",Arthropods,NA,NA,2015-05-05,Terrestrial,Melaporphyria immortua - Dark-banded Flower Gem,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Toothed Globe,NA,Endangered,2019-11-29,Mesodon zaletus,Toothed Globe,NA,Endangered,2024-06-10,Schedule 1,2024-06-10,Ontario,Molluscs,NA,Added to list,2029-11-29,Terrestrial,Mesodon zaletus - Toothed Globe,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Sowerby's Beaked Whale,NA,Special Concern,2019-05-03,Mesoplodon bidens,Sowerby's Beaked Whale,NA,Special Concern,2011-06-23,Schedule 1,2011-06-23,Atlantic Ocean,Mammals (marine),NA,Added to list,2029-05-03,Aquatic,Mesoplodon bidens - Sowerby's Beaked Whale,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Hubbs' Beaked Whale,NA,Not at Risk,1989-04-01,Mesoplodon carlhubbsi,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Pacific Ocean,Mammals (marine),NA,NA,1999-04-01,Aquatic,Mesoplodon carlhubbsi - Hubbs' Beaked Whale,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Blainville's Beaked Whale,NA,Not at Risk,1989-04-01,Mesoplodon densirostris,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Atlantic Ocean,Mammals (marine),NA,NA,1999-04-01,Aquatic,Mesoplodon densirostris - Blainville's Beaked Whale,NA,NA,NA,NA,NA,NA,9999-01-01,NA
True's Beaked Whale,NA,Not at Risk,1989-04-01,Mesoplodon mirus,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Atlantic Ocean,Mammals (marine),NA,NA,1999-04-01,Aquatic,Mesoplodon mirus - True's Beaked Whale,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Stejneger's Beaked Whale,NA,Not at Risk,1989-04-01,Mesoplodon stejneri,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Pacific Ocean,Mammals (marine),NA,NA,1999-04-01,Aquatic,Mesoplodon stejneri - Stejneger's Beaked Whale,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Gasp,NA,Not applicable,9999-01-01,Micranthes gaspensis,NA,NA,NA,9999-01-01,NA,9999-01-01,"CWS, Parks, QC",Vascular plants,NA,NA,9999-01-01,Terrestrial,Micranthes gaspensis - GaspÃ© Bay Saxifrage,Terrestrial,Vascular plants,Micranthes gaspensis,Gasp,NA,Not applicable,9999-01-01,"CWS, Parks, QC"
Spiked Saxifrage,NA,Special Concern,2015-05-01,Micranthes spicata,Spiked Saxifrage,NA,Special Concern,2019-02-25,Schedule 1,2019-02-25,Yukon,Vascular Plants,NA,Added to list,2025-05-01,Terrestrial,Micranthes spicata - Spiked Saxifrage,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Nugget Moss,NA,Endangered,2016-11-27,Microbryum vlassovii,Nugget Moss,NA,Endangered,2009-03-05,Schedule 1,2009-03-05,British Columbia,Mosses,NA,Added to list,2026-11-27,Terrestrial,Microbryum vlassovii - Nugget Moss,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Coast Microseris,NA,Endangered,2006-04-29,Microseris bigelovii,Coast Microseris,NA,Endangered,2007-12-13,Schedule 1,2007-12-13,British Columbia,Vascular Plants,NA,Added to list,2016-04-29,Terrestrial,Microseris bigelovii - Coast Microseris,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Woodland Vole,NA,Special Concern,2010-11-26,Microtus pinetorum,Woodland Vole,NA,Special Concern,2003-06-05,Schedule 1,2003-06-05,"Ontario, Quebec",Mammals (terrestrial),NA,Added to list,2020-11-26,Terrestrial,Microtus pinetorum - Woodland Vole,Terrestrial,Mammals (terrestrial),Microtus pinetorum,Woodland Vole,NA,Special Concern,9999-01-01,"CWS, ON, Parks, QC"
Serpentine Stitchwort,NA,Not at Risk,2006-04-29,Minuartia marcescens,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Newfoundland and Labrador, Quebec",Vascular Plants,NA,NA,2016-04-29,Terrestrial,Minuartia marcescens - Serpentine Stitchwort,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Dwarf Sandwort,NA,Endangered,2004-05-01,Minuartia pusilla,Dwarf Sandwort,NA,Endangered,2005-07-14,Schedule 1,2005-07-14,British Columbia,Vascular Plants,NA,Added to list,2014-05-01,Terrestrial,Minuartia pusilla - Dwarf Sandwort,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Spotted Sucker,NA,Special Concern,2014-11-28,Minytrema melanops,Spotted Sucker,NA,Special Concern,2003-06-05,Schedule 1,2003-06-05,Ontario,Fishes (freshwater),NA,Added to list,2024-11-28,Aquatic,Minytrema melanops - Spotted Sucker,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Northern Elephant Seal,NA,Not at Risk,1986-04-01,Mirounga angustirostris,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"British Columbia, Pacific Ocean",Mammals (marine),NA,NA,1996-04-01,Aquatic,Mirounga angustirostris - Northern Elephant Seal,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Narwhal,NA,Not at Risk,2024-05-09,Monodon monoceros,Narwhal,NA,No Status,9999-01-01,No schedule,9999-01-01,"Arctic Ocean, Atlantic Ocean, Newfoundland and Labrador, Nunavut, Quebec",Mammals (marine),NA,NA,2034-05-09,Aquatic,Monodon monoceros - Narwhal,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Striped Bass,Bay of Fundy population,Endangered,2012-11-25,Morone saxatilis,Striped Bass,Bay of Fundy population,No Status,9999-01-01,No schedule,9999-01-01,"Atlantic Ocean, New Brunswick, Nova Scotia",Fishes (freshwater),Addition,Pending,2022-11-25,Aquatic,Morone saxatilis - Striped Bass (Bay of Fundy population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Striped Bass,Southern Gulf of St. Lawrence population,Special Concern,2012-11-25,Morone saxatilis,Striped Bass,Southern Gulf of St. Lawrence population,No Status,9999-01-01,No schedule,9999-01-01,"Atlantic Ocean, New Brunswick, Nova Scotia, Prince Edward Island, Quebec",Fishes (freshwater),Addition,Pending,2022-11-25,Aquatic,Morone saxatilis - Striped Bass (Southern Gulf of St. Lawrence population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Striped Bass,St. Lawrence River population,Extinct,2019-11-29,Morone saxatilis,Striped Bass,St. Lawrence River population,Endangered,2021-06-17,Schedule 1,2011-06-23,Quebec,Fishes (freshwater),NA,Refer back,2029-11-29,Aquatic,Morone saxatilis - Striped Bass (St. Lawrence River population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Red Mulberry,NA,Endangered,2014-11-28,Morus rubra,Red Mulberry,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Vascular Plants,NA,Added to list,2024-11-28,Terrestrial,Morus rubra - Red Mulberry,NA,NA,NA,NA,NA,NA,9999-01-01,NA
River Redhorse,NA,Special Concern,2015-11-26,Moxostoma carinatum,River Redhorse,NA,Special Concern,2007-12-13,Schedule 1,2007-12-13,"Ontario, Quebec",Fishes (freshwater),NA,Added to list,2025-11-26,Aquatic,Moxostoma carinatum - River Redhorse,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Black Redhorse,NA,Threatened,2015-05-01,Moxostoma duquesnei,Black Redhorse,NA,Threatened,2019-08-08,Schedule 1,2019-08-08,Ontario,Fishes (freshwater),NA,Added to list,2025-05-01,Aquatic,Moxostoma duquesnei - Black Redhorse,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Golden Redhorse,NA,Not at Risk,1989-04-01,Moxostoma erythrurum,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Manitoba, Ontario",Fishes (freshwater),NA,NA,1999-04-01,Aquatic,Moxostoma erythrurum - Golden Redhorse,NA,NA,NA,NA,NA,NA,9999-01-01,NA
